salary_min_BGP,salary_max_BGP,joblocation,joblocation_num,Internship,education,experience,Average_salary,company_style,company_scale,job_industry,job_classification
13636,20454,Guangzhou,First-tier city,No,Bachelor,2 years,medium,State-owned,1000-5000,Communications/Telecommunications/Network equipment,System architect
10909,13636,Guangzhou,First-tier city,No,Bachelor,2 years,medium,Listed,500-1000,Computer services,Software Engineer
8181,10909,Nanjing,Other First-tier city,No,College degree,3 years,low,Private-owned,Less than 50,Computer Software/Hardware,Internet Software Development Engineer
16363,24545,Nanjing,Other First-tier city,No,Bachelor,5 years,medium,Listed,1000-5000,Communications/Telecommunications/Network equipment,Java Developer
10909,16363,Suzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Software Engineer
9545,20454,Guangzhou,First-tier city,No,Bachelor,1 year,medium,Foreign (except EU & US),1000-5000,Computer services,Internet Software Development Engineer
4090,6136,Chengdu,Other First-tier city,Yes,College degree,no experience,low,Private-owned,150-500,Professional service,Internet Software Development Engineer
6136,8181,Chengdu,Other First-tier city,No,College degree,no experience,low,Private-owned,150-500,E-commerce,Internet Software Development Engineer
30000,30000,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Professional service,Web front-end development
4500,27272,Chengdu,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,E-commerce,Senior software engineer
4500,20454,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,Less than 50,Computer Software/Hardware,Java Developer
30000,27272,Hangzhou,Other First-tier city,No,College degree,5 years,medium,Private-owned,150-500,Computer Software/Hardware,Senior software engineer
3000,27272,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,E-commerce,Senior software engineer
4500,54545,Guangzhou,First-tier city,No,College degree,5 years,medium,Private-owned,50-150,Communications/Telecommunications/Network equipment,Java Developer
15000,17045,Suzhou,Other First-tier city,No,Bachelor,3 years,medium,State-owned,50-150,E-commerce,Software Engineer
4500,40909,Suzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Computer services,Senior software engineer
4500,17045,Wuxi,Second-tier city,No,Not Required,Not Required,low,Joint venture,1000-5000,Computer services,Software Engineer
1800,10909,Nanjing,Other First-tier city,No,Bachelor,2 years,low,State-owned,50-150,Computer services,Senior software engineer
6000,32727,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
3000,8863,Guangzhou,First-tier city,No,College degree,1 year,low,State-owned,500-1000,Medical/Biological Engineering,Internet Software Development Engineer
2400,8181,Suzhou,Other First-tier city,No,Bachelor,1 year,low,New,50-150,Others,Software Engineer
3900,24545,Guangzhou,First-tier city,No,Bachelor,2 years,medium,Private-owned,1000-5000,Computer services,Software Engineer
4500,17045,Changzhou,Third-tier city,No,College degree,3 years,low,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer
3600,19090,Hangzhou,Other First-tier city,No,Bachelor,1 year,medium,Private-owned,50-150,Medical/Biological Engineering,Software Engineer
4500,20454,Ningbo,Second-tier city,No,Bachelor,5 years,medium,Private-owned,Over 10k,Others,Internet Software Development Engineer
4500,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Professional service,Software Engineer
15000,30000,Dongguan,Second-tier city,No,Bachelor,3 years,medium,Joint venture,Less than 50,Computer Software/Hardware,System architect
4500,20454,Foshan,Third-tier city,No,College degree,2 years,medium,Private-owned,Less than 50,E-commerce,System architect
3600,27272,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer services,Software Engineer
9000,16363,Ningbo,Second-tier city,No,Bachelor,3 years,medium,Listed,1000-5000,E-commerce,Software Engineer
6000,12272,Guangzhou,First-tier city,No,Bachelor,1 year,low,Private-owned,Less than 50,Computer services,Senior software engineer
18000,18000,Guangzhou,First-tier city,No,Master,Not Required,medium,State-owned,150-500,Communications/Telecommunications/Network equipment,Internet Software Development Engineer
4050,32727,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,E-commerce,Internet Software Development Engineer
30000,40909,Guangzhou,First-tier city,No,College degree,3 years,medium,Private-owned,150-500,Computer Software/Hardware,Senior software engineer
4500,20454,Chengdu,Other First-tier city,No,Bachelor,2 years,medium,Private-owned,150-500,E-commerce,Internet Software Development Engineer
4500,16363,Chengdu,Other First-tier city,No,Bachelor,3 years,low,Private-owned,50-150,Computer Software/Hardware,Web front-end development
3600,13636,Third-tier city,Third-tier city,No,Bachelor,2 years,low,Private-owned,Less than 50,Computer Software/Hardware,Others
3000,40909,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,Gaming,Internet Software Development Engineer
4800,27272,Ningbo,Second-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
4500,10227,Foshan,Third-tier city,No,College degree,1 year,low,Private-owned,50-150,Computer services,Internet Software Development Engineer
3600,20454,Guangzhou,First-tier city,No,College degree,3 years,medium,Foreign (except EU & US),150-500,Computer services,Internet Software Development Engineer
6000,13636,Suzhou,Other First-tier city,No,Bachelor,3 years,low,Private-owned,50-150,Computer Software/Hardware,Software Engineer
3000,17727,Shanghai,First-tier city,No,College degree,1 year,low,Private-owned,50-150,Computer Software/Hardware,Software Engineer
4500,20454,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,150-500,Communications/Telecommunications/Network equipment,Java Developer
4500,13636,Huizhou,Third-tier city,No,College degree,3 years,low,Private-owned,50-150,Service,Software Engineer
10909,20454,Foshan,Third-tier city,No,Bachelor,3 years,medium,Foreign (except EU & US),1000-5000,Engineering/Electronic technology,Senior software engineer
27272,34090,Guangzhou,First-tier city,No,College degree,5 years,medium,Listed,1000-5000,Communications/Telecommunications/Network equipment,Senior software engineer
13636,20454,Hangzhou,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Medical/Biological Engineering,Senior software engineer
8181,10909,Guangzhou,First-tier city,No,Bachelor,3 years,low,State-owned,50-150,E-commerce,Internet Software Development Engineer
16363,27272,Zhongshan,Third-tier city,No,Bachelor,3 years,medium,Private-owned,1000-5000,Others,Internet Software Development Engineer
13636,27272,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer services,Internet Software Development Engineer
16363,24545,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Foreign (except EU & US),500-1000,E-commerce,Senior software engineer
20454,40909,Hangzhou,Other First-tier city,No,Bachelor,5 years,medium,Foreign(EU & US),150-500,Computer Software/Hardware,Internet Software Development Engineer
16363,27272,Guangzhou,First-tier city,No,Bachelor,3 years,medium,Private-owned,5000-10000,Engineering/Electronic technology,Senior software engineer
10909,20454,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,New,50-150,Communications/Telecommunications/Network equipment,Internet Software Development Engineer
9545,17727,Chengdu,Other First-tier city,No,Bachelor,3 years,medium,Listed,500-1000,Computer services,Internet Software Development Engineer
16363,34090,Chengdu,Other First-tier city,No,Bachelor,1 year,medium,Private-owned,50-150,Engineering/Electronic technology,Senior software engineer
13636,20454,Suzhou,Other First-tier city,No,College degree,3 years,medium,New,Less than 50,E-commerce,Senior software engineer
13636,20454,Ningbo,Second-tier city,No,Bachelor,3 years,medium,Private-owned,Less than 50,Finance,Senior software engineer
34090,54545,Guangzhou,First-tier city,No,Bachelor,8 years,medium,Private-owned,150-500,Others,Manager
10909,21818,Nanjing,Other First-tier city,No,Bachelor,3 years,medium,Private-owned,50-150,Computer Software/Hardware,Senior software engineer
8181,10909,Nanjing,Other First-tier city,No,College degree,1 year,low,Private-owned,150-500,Others,Software Engineer
27272,34090,Chengdu,Other First-tier city,No,Bachelor,5 years,medium,Private-owned,50-150,Engineering/Electronic technology,Manager
6818,10909,Nanjing,Other First-tier city,No,Bachelor,1 year,low,Private-owned,50-150,Computer services,Senior software engineer
