@relation '51java-nominal-csv (6)-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute joblocation_num {'First-tier city','Other First-tier city','Second-tier city','Third-tier city'}
@attribute Internship {No,Yes}
@attribute education {Bachelor,'College degree','Not Required',Master}
@attribute experience {'2 years','3 years','5 years','1 year','no experience','Not Required','8 years','Fresh graduate','4 years','7 years','over 10 years','6 years'}
@attribute Average_salary {medium,low}
@attribute company_style {State-owned,Listed,Private-owned,'Foreign (except EU & US)','Joint venture',New,'Foreign(EU & US)',Institution,Non-profit}
@attribute company_scale {1000-5000,500-1000,'Less than 50',150-500,50-150,'Over 10k',5000-10000}
@attribute job_industry {'Communications/Telecommunications/Network equipment','Computer services','Computer Software/Hardware','Professional service',E-commerce,'Medical/Biological Engineering',Others,Gaming,Service,'Engineering/Electronic technology',Finance,Equipment,Education}
@attribute job_classification {'System architect','Software Engineer','Internet Software Development Engineer','Java Developer','Web front-end development','Senior software engineer',Others,Manager,ERP,'Technical support/maintenance engineer'}

@data
'First-tier city',No,Bachelor,'2 years',medium,State-owned,1000-5000,'Communications/Telecommunications/Network equipment','System architect'
'First-tier city',No,Bachelor,'2 years',medium,Listed,500-1000,'Computer services','Software Engineer'
'Other First-tier city',No,'College degree','3 years',low,Private-owned,'Less than 50','Computer Software/Hardware','Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'5 years',medium,Listed,1000-5000,'Communications/Telecommunications/Network equipment','Java Developer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Software Engineer'
'First-tier city',No,Bachelor,'1 year',medium,'Foreign (except EU & US)',1000-5000,'Computer services','Internet Software Development Engineer'
'Other First-tier city',Yes,'College degree','no experience',low,Private-owned,150-500,'Professional service','Internet Software Development Engineer'
'Other First-tier city',No,'College degree','no experience',low,Private-owned,150-500,E-commerce,'Internet Software Development Engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Professional service','Web front-end development'
'Other First-tier city',No,Bachelor,'5 years',medium,Private-owned,50-150,E-commerce,'Senior software engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50','Computer Software/Hardware','Java Developer'
'Other First-tier city',No,'College degree','5 years',medium,Private-owned,150-500,'Computer Software/Hardware','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,E-commerce,'Senior software engineer'
'First-tier city',No,'College degree','5 years',medium,Private-owned,50-150,'Communications/Telecommunications/Network equipment','Java Developer'
'Other First-tier city',No,Bachelor,'3 years',medium,State-owned,50-150,E-commerce,'Software Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,'Less than 50','Computer services','Senior software engineer'
'Second-tier city',No,'Not Required','Not Required',low,'Joint venture',1000-5000,'Computer services','Software Engineer'
'Other First-tier city',No,Bachelor,'2 years',low,State-owned,50-150,'Computer services','Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Senior software engineer'
'First-tier city',No,'College degree','1 year',low,State-owned,500-1000,'Medical/Biological Engineering','Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'1 year',low,New,50-150,Others,'Software Engineer'
'First-tier city',No,Bachelor,'2 years',medium,Private-owned,1000-5000,'Computer services','Software Engineer'
