jobname,salary_min_BGP,salary_max_BGP,joblocation,Internship,education,experience,Average_salary,company_style,company_scale,job_industry,job_classification,salary_grade,,,,,,,
Java架构师,13636,20454,Guangzhou,No,Bachelor,2 years,17045,State-owned,1000-5000,Communications/Telecommunications/Network equipment,System architect,medium,,,,,,,
Java开发工程师,10909,13636,Guangzhou,No,Bachelor,2 years,12272,Listed,500-1000,Computer services,Software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Nanjing,No,College degree,3 years,9545,Private-owned,Less than 50,Computer Software/Hardware,Internet Software Development Engineer,low,,,,,51job nature,,
Java开发工程师,16363,24545,Nanjing,No,Bachelor,5 years,20454,Listed,1000-5000,Communications/Telecommunications/Network equipment,Java Developer,medium,,,,,Attribute Name,Value,Code description
Java开发工程师 ,10909,16363,Suzhou,No,Bachelor,3 years,13636,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,medium,,,,,_id,numeric,No practical significance is only automatically generated when the database stores data
JAVA开发工程师,9545,20454,Guangzhou,No,Bachelor,1 year,14999,Foreign (except EU & US),1000-5000,Computer services,Internet Software Development Engineer,medium,,,,,html_url,string,No practical significance is only automatically generated when the database stores data
Java前端实习生,4090,6136,Chengdu,Yes,College degree,no experience,5113,Private-owned,150-500,Professional service,Internet Software Development Engineer,low,,,,,jobname,string,position name
Java开发工程师,6136,8181,Chengdu,No,College degree,no experience,7158,Private-owned,150-500,E-commerce,Internet Software Development Engineer,low,,,,,company_name,string,company name
Java后台开发工程师,30000,30000,Guangzhou,No,Bachelor,3 years,30000,Private-owned,50-150,Professional service,Web front-end development,high,,,,,salary,string,The original salary display form
Java开发工程师,4500,27272,Chengdu,No,Bachelor,5 years,15886,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,salary_min,numeric,The minimum salary for the position
Java中级开发工程师,4500,20454,Guangzhou,No,College degree,3 years,12477,Private-owned,Less than 50,Computer Software/Hardware,Java Developer,medium,,,,,salary_max,numeric,The maximum salary for the position
Java高级开发工程师,30000,27272,Hangzhou,No,College degree,5 years,28636,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,high,,,,,salary_method,string,Salary payment method
Java开发工程师,3000,27272,Hangzhou,No,Bachelor,3 years,15136,Private-owned,150-500,E-commerce,Senior software engineer,medium,,,,,salary_style,string,Salary counting method
Java高级开发工程师,4500,54545,Guangzhou,No,College degree,5 years,29522,Private-owned,50-150,Communications/Telecommunications/Network equipment,Mobile Development Engineer,high,,,,,joblocation,string,work place
java软件工程师 ,15000,17045,Suzhou,No,Bachelor,3 years,16022,State-owned,50-150,E-commerce,Software engineer,medium,,,,,Internship,string,Determine whether the position is only available to interns
Java架构师,4500,40909,Suzhou,No,Bachelor,3 years,22704,Private-owned,Less than 50,Computer services,Senior software engineer,medium,,,,,education,string,Academic qualification
IT/EIMII JAVA开发工程师,4500,17045,Wuxi,No,Not Required,Not Required,10772,Joint venture,1000-5000,Computer services,Test engineer,low,,,,,experience,string,work experience
高级JAVA软件工程师,1800,10909,Nanjing,No,Bachelor,2 years,6354,State-owned,50-150,Computer services,Senior software engineer,low,,,,,company_style,string,Company Size
Java开发工程师,6000,32727,Guangzhou,No,Bachelor,3 years,19363,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,company_scale,string,Company Type
Java开发工程师,3000,8863,Guangzhou,No,College degree,1 year,5931,State-owned,500-1000,Biological Engineering,Internet Software Development Engineer,low,,,,,job_industry,string,Industry to which the job belongs
JAVA初级工程师,2400,8181,Suzhou,No,Bachelor,1 year,5290,New,50-150,Transportation,Software engineer,low,,,,,job_classification,string,Job type
Java开发工程师,3900,24545,Guangzhou,No,Bachelor,2 years,14222,Private-owned,1000-5000,Computer services,Software engineer,medium,,,,,job_content,string,Descriptive information of the position
JAVA软件研发工程师,4500,17045,Changzhou,No,College degree,3 years,10772,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer,low,,,,,job_responsibility,string,Job responsibility of the position
Java开发工程师,3600,19090,Hangzhou,No,Bachelor,1 year,11345,Private-owned,50-150,Medical,Software engineer,low,,,,,job_demand,string,Ability requirements for the position
java开发工程师,4500,20454,Ningbo,No,Bachelor,5 years,12477,Private-owned,Over 10k,Furniture,Senior Internet Software Development Engineer,medium,,,,,,,
Java中级开发工程师,4500,20454,Guangzhou,No,Bachelor,3 years,12477,Private-owned,50-150,Professional service,Software engineer,medium,,,,,,,
系统架构师（JAVA Web方向）,15000,30000,Dongguan,No,Bachelor,3 years,22500,Joint venture,Less than 50,Computer Software/Hardware,System architect,medium,,,,,,,
Java架构师,4500,20454,Foshan,No,College degree,2 years,12477,Private-owned,Less than 50,E-commerce,System architect,medium,,,,,,,
JAVA开发工程师,3600,27272,Nanjing,No,Bachelor,3 years,15436,Private-owned,50-150,Computer services,Software engineer,medium,,,,,,,
Java开发工程师,9000,16363,Ningbo,No,Bachelor,3 years,12681,Listed,1000-5000,E-commerce,Software engineer,medium,,,,,jobtotal nature,,
java j2ee软件工程师,6000,12272,Guangzhou,No,Bachelor,1 year,9136,Private-owned,Less than 50,Computer services,Senior software engineer,low,,,,,Attribute Name,Value,Code description
JAVA研发工程师,18000,18000,Guangzhou,No,Master,Not Required,18000,State-owned,150-500,Communications/Telecommunications/Network equipment,Internet Software Development Engineer,medium,,,,,html_url,string,No practical significance is only automatically generated when the database stores data
后端java工程师,4050,32727,Guangzhou,No,Bachelor,3 years,18388,Private-owned,50-150,E-commerce,Internet Software Development Engineer,medium,,,,,jobname,string,position name
java,30000,40909,Guangzhou,No,College degree,3 years,35454,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,high,,,,,jobissue,string,Recruitment information release time
中/高级JAVA工程师,4500,20454,Chengdu,No,Bachelor,2 years,12477,Private-owned,150-500,E-commerce,Internet Software Development Engineer,medium,,,,,Location,string,work place
Java Web开发工程师,4500,16363,Chengdu,No,Bachelor,3 years,10431,Private-owned,50-150,Testing,Web front-end development,low,,,,,joblocation,string,work place
Java开发工程师,3600,13636,Third-tier city,No,Bachelor,2 years,8618,Private-owned,Less than 50,Computer Software/Hardware,System analyst,low,,,,,salary,string,The original salary display form
Java开发工程师,3000,40909,Hangzhou,No,Bachelor,5 years,21954,Private-owned,50-150,Gaming,Internet Software Development Engineer,medium,,,,,min salary,numeric,The minimum salary for the position
高级Java研发工程师 （宁波）,4800,27272,Ningbo,No,Bachelor,5 years,16036,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,max salary,numeric,The maximum salary for the position
Java开发工程师,4500,10227,Foshan,No,College degree,1 year,7363,Private-owned,50-150,Computer services,Internet Software Development Engineer,low,,,,,salary_type,string,Salary payment method
JAVA软件工程师,3600,20454,Guangzhou,No,College degree,3 years,12027,Foreign (except EU & US),150-500,Computer services,Internet Software Development Engineer,medium,,,,,welfare,string,Extra rewards received by employees in addition to salary
Java软件开发工程师（SE）,6000,13636,Suzhou,No,Bachelor,3 years,9818,Private-owned,50-150,Computer Software/Hardware,Software engineer,low,,,,,company_name,string,company name
Java对日开发工程师,3000,17727,Shanghai,No,College degree,1 year,10363,Private-owned,50-150,Computer Software/Hardware,Software engineer,low,,,,,job_content,string,Descriptive information of the position
Java开发工程师,4500,20454,Guangzhou,No,Bachelor,3 years,12477,Private-owned,150-500,Communications/Telecommunications/Network equipment,Java Developer,medium,,,,,job_description,string,Descriptive information of the position
Java开发工程师,4500,13636,Huizhou,No,College degree,3 years,9068,Private-owned,50-150,Domestic services,Software engineer,low,,,,,,,
Java高级开发工程师,10909,20454,Foshan,No,Bachelor,3 years,15681,Foreign (except EU & US),1000-5000,Engineering,Senior software engineer,medium,,,,,,,
Java高级开发工程师,27272,34090,Guangzhou,No,College degree,5 years,30681,Listed,1000-5000,Communications/Telecommunications/Network equipment,Senior software engineer,high,,,,,,,
Java软件开发工程师,13636,20454,Hangzhou,No,Bachelor,3 years,17045,Private-owned,50-150,Biological Engineering,Senior software engineer,medium,,,,,,,
Java中级开发工程师,8181,10909,Guangzhou,No,Bachelor,3 years,9545,State-owned,50-150,E-commerce,Internet Software Development Engineer,low,,,,,,,
Java高级开发工程师,16363,27272,Zhongshan,No,Bachelor,3 years,21817,Private-owned,1000-5000,Furniture,Senior Internet Software Development Engineer,medium,,,,,,,
Java Web工程师,13636,27272,Nanjing,No,Bachelor,3 years,20454,Private-owned,50-150,Computer services,Internet Software Development Engineer,medium,,,,,,,
高级java开发工程师,16363,24545,Guangzhou,No,Bachelor,3 years,20454,Foreign (except EU & US),500-1000,E-commerce,Senior software engineer,medium,,,,,,,
资深Java开发工程师/Java技术专家,20454,40909,Hangzhou,No,Bachelor,5 years,30681,Foreign(EU & US),150-500,Computer Software/Hardware,Internet Software Development Engineer,high,,,,,,,
JAVA开发工程师（集团-研究院）,16363,27272,Guangzhou,No,Bachelor,3 years,21817,Private-owned,5000-10000,Electric,Senior software engineer,medium,,,,,,,
研发部-JAVA高级开发工程师,10909,20454,Chengdu,No,Bachelor,3 years,15681,New,50-150,Communications/Telecommunications/Network equipment,Internet Software Development Engineer,medium,,,,,,,
中级java研发工程师,9545,17727,Chengdu,No,Bachelor,3 years,13636,Listed,500-1000,Computer services,Internet Software Development Engineer,medium,,,,,,,
Java高级开发工程师,16363,34090,Chengdu,No,Bachelor,1 year,25226,Private-owned,50-150,Electronic technology,Senior software engineer,high,,,,,,,
Java高级开发工程师,13636,20454,Suzhou,No,College degree,3 years,17045,New,Less than 50,E-commerce,Senior software engineer,medium,,,,,,,
Java高级开发工程师,13636,20454,Ningbo,No,Bachelor,3 years,17045,Private-owned,Less than 50,Finance,Senior software engineer,medium,,,,,,,
Java开发总监,34090,54545,Guangzhou,No,Bachelor,8 years,44317,Private-owned,150-500,Environmental protection,Technical Manager,high,,,,,,,
JAVA开发,10909,21818,Nanjing,No,Bachelor,3 years,16363,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
JAVA开发工程师,8181,10909,Nanjing,No,College degree,1 year,9545,Private-owned,150-500,Transportation,Software engineer,low,,,,,,,
Java开发,27272,34090,Chengdu,No,Bachelor,5 years,30681,Private-owned,50-150,Engineering,Information Technology Manager,high,,,,,,,
JAVA开发工程师,6818,10909,Nanjing,No,Bachelor,1 year,8863,Private-owned,50-150,Computer services,Senior software engineer,low,,,,,,,
Java高级开发工程师（派遣南方电网）,20454,34090,Guangzhou,No,College degree,5 years,27272,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,high,,,,,,,
Java开发工程师,13636,23181,Hangzhou,No,College degree,3 years,18408,Private-owned,150-500,E-commerce,Software engineer,medium,,,,,,,
Java开发工程师,10909,20454,Hangzhou,No,Not Required,3 years,15681,Private-owned,150-500,Engineering,Software engineer,medium,,,,,,,
Java开发工程师,20454,25000,Hangzhou,No,Bachelor,5 years,22727,Listed,1000-5000,Machinery/Equipment,Senior software engineer,medium,,,,,,,
（中高级）Java开发工程师,16363,27272,Guangzhou,No,Bachelor,3 years,21817,Private-owned,1000-5000,New energy,Senior software engineer,medium,,,,,,,
java开发工程师（偏数据方向），年薪7-15万,8181,10909,Chengdu,No,Bachelor,2 years,9545,Private-owned,50-150,Finance,Software engineer,low,,,,,,,
JAVA开发经理,40909,47727,Nanjing,No,Bachelor,5 years,44318,Foreign (except EU & US),150-500,Diversified Business Group Companies,Internet Software Development Engineer,high,,,,,,,
JAVA中级开发工程师,8181,16363,Guangzhou,No,College degree,2 years,12272,Private-owned,Less than 50,Tourism,Software engineer,medium,,,,,,,
Java开发经理,27272,34090,Hangzhou,No,Bachelor,8 years,30681,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,high,,,,,,,
Java中级开发工程师,13636,20454,Hangzhou,No,College degree,3 years,17045,Private-owned,500-1000,Accounting,Software engineer,medium,,,,,,,
Java开发工程师(中级),10909,13636,Nanjing,No,Bachelor,1 year,12272,Private-owned,150-500,Computer services,Software engineer,medium,,,,,,,
Java高级开发工程师,20454,34090,Guangzhou,No,Bachelor,3 years,27272,State-owned,150-500,Communications/Telecommunications/Network equipment,Senior software engineer,high,,,,,,,
Java中高级软件工程师/5年工作经验,13636,24545,Hangzhou,No,College degree,5 years,19090,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java高级开发工程师,20454,34090,Hangzhou,No,College degree,3 years,27272,Private-owned,50-150,E-commerce,Senior software engineer,high,,,,,,,
Java开发主管,20454,27272,Chengdu,No,Bachelor,5 years,23863,Private-owned,150-500,Trading,Project Manager,medium,,,,,,,
JAVA软件开发工程师 (职位编号：000844),22000,22000,Nanjing,No,Bachelor,3 years,22000,Foreign (except EU & US),1000-5000,Machinery/Equipment,Senior software engineer,medium,,,,,,,
JAVA高级软件工程师/技术经理,13636,20454,Wuxi,No,Bachelor,Not Required,17045,Private-owned,50-150,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java开发工程师,13636,20454,Chengdu,No,Bachelor,3 years,17045,State-owned,50-150,Entertainment,Internet Software Development Engineer,medium,,,,,,,
Java开发经理,20454,27272,Guangzhou,No,Bachelor,5 years,23863,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师（英语流利，不符合勿扰）,10909,16363,Chengdu,No,College degree,2 years,13636,Private-owned,150-500,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java开发工程师,6818,27272,Nanjing,No,Bachelor,1 year,17045,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
Java高级开发工程师 (职位编号：1910101),8181,21818,Guangzhou,No,College degree,2 years,14999,Private-owned,50-150,Electronic technology,Senior software engineer,medium,,,,,,,
Java开发工程师,13636,27272,Chengdu,No,Not Required,3 years,20454,Private-owned,150-500,Finance,Java Developer,medium,,,,,,,
Java高级开发工程师,20454,27272,Guangzhou,No,Bachelor,5 years,23863,Joint venture,500-1000,E-commerce,Senior software engineer,medium,,,,,,,
java开发工程师,13636,20454,Nanjing,No,Bachelor,3 years,17045,Private-owned,150-500,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java高级开发工程师,10909,16363,Hangzhou,No,Bachelor,2 years,13636,Joint venture,5000-10000,Trading,Senior software engineer,medium,,,,,,,
Java中级开发,8181,10909,Chengdu,No,Bachelor,2 years,9545,Private-owned,50-150,Communications/Telecommunications/Network equipment,Java Developer,low,,,,,,,
Java高级开发工程师,20454,27272,Shanghai,No,Bachelor,5 years,23863,Private-owned,150-500,Computer services,Senior software engineer,medium,,,,,,,
Java后端开发工程师,20454,27272,Guangzhou,No,Bachelor,3 years,23863,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师,8181,20454,Changzhou,No,Bachelor,Not Required,14317,Private-owned,50-150,Electronic technology,Algorithm engineer,medium,,,,,,,
银行Java开发,10909,13636,Ningbo,No,Bachelor,2 years,12272,Private-owned,500-1000,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java开发工程师,8181,13636,Hainan Province,No,College degree,2 years,10908,Private-owned,150-500,Computer Software/Hardware,Software engineer,low,,,,,,,
Java软件开发工程师,9545,16363,Guangzhou,No,College degree,1 year,12954,Private-owned,500-1000,Diversified Business Group Companies,Software engineer,medium,,,,,,,
JAVA项目经理,22727,34090,Hangzhou,No,Bachelor,3 years,28408,Private-owned,500-1000,Industrial Automation,Project manager,high,,,,,,,
Java中级工程师,16363,21818,Hangzhou,No,Not Required,3 years,19090,Private-owned,150-500,Aviation,Software engineer,medium,,,,,,,
Java中级开发工程师,10909,20454,Nanjing,No,Bachelor,3 years,15681,State-owned,500-1000,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
